Date,total_sales,mean_sales_all_rows,reporting_stores,open_stores,promo_store_days,mean_sales_open,median_sales_open,open_rows,positive_sales_rows,mean_sales_open_7d,mean_sales_open_28d
2013-01-01,97235,87.28456014362656,1114,17,0,5719.705882352941,4220.0,17,17,5719.705882352941,5719.705882352941
2013-01-02,6949829,6233.030493273543,1115,1111,0,6255.471647164716,5747.0,1111,1111,5987.588764758829,5987.588764758829
2013-01-03,6347820,5693.1121076233185,1115,1109,0,5723.913435527502,5308.0,1109,1109,5899.696988348386,5899.696988348386
2013-01-04,6638954,5954.218834080718,1115,1108,0,5991.8357400722025,5627.5,1108,1108,5922.731676279341,5922.731676279341
2013-01-05,5951593,5337.751569506727,1115,1107,0,5376.326106594399,5037.0,1107,1107,5813.450562342352,5813.450562342352
2013-01-06,143904,129.06188340807174,1115,19,0,7573.894736842105,6995.0,19,19,6106.857924758978,6106.857924758978
2013-01-07,10826848,9710.177578475337,1115,1106,1115,9789.19349005425,9285.0,1106,1106,6632.905862658302,6632.905862658302
2013-01-08,8749437,7847.02869955157,1115,1105,1115,7918.042533936652,7508.0,1105,1105,6946.953955741688,6793.547946568096
2013-01-09,7746603,6947.62600896861,1115,1105,1115,7010.500452488688,6696.0,1105,1105,7054.815213645114,6817.6537805592725
2013-01-10,7751485,6952.004484304933,1115,1105,1115,7014.918552036199,6698.0,1105,1105,7239.2445160034995,6837.3802577069655
2013-01-11,8039306,7210.139910313901,1115,1105,1115,7275.390045248869,6853.0,1105,1105,7422.609416743023,6877.199329301685
2013-01-12,6017491,5396.852914798206,1115,1105,0,5445.693212669683,5074.0,1105,1105,7432.5190033252065,6757.907152915684
2013-01-13,144052,129.19461883408073,1115,18,0,8002.888888888889,6661.0,18,18,7493.803882189032,6853.674978759776
2013-01-14,5886788,5279.630493273543,1115,1105,0,5327.409954751131,4949.0,1105,1105,6856.406234288587,6744.656048473445
2013-01-15,5512591,4944.027802690583,1115,1105,0,4988.770135746607,4621.0,1105,1105,6437.938748832866,6627.596987624989
2013-01-16,5293020,4747.103139013453,1115,1105,0,4790.06334841629,4453.0,1105,1105,6120.733448251095,6512.751135174445
2013-01-17,5386564,4830.999103139014,1115,1107,0,4865.911472448058,4569.0,1107,1106,5813.7324368813615,6415.878213837599
2013-01-18,6137010,5504.044843049327,1115,1106,0,5548.833634719711,5169.5,1106,1106,5567.081521091482,6367.709070553272
2013-01-19,6010192,5390.306726457399,1115,1107,0,5429.261065943992,4980.0,1107,1107,5564.734071559239,6318.317070310678
2013-01-20,151600,135.96412556053812,1115,19,0,7978.9473684210525,6674.0,19,19,5561.313854349549,6401.348585216197
2013-01-21,8761074,7857.465470852018,1115,1107,1115,7914.249322493225,7519.0,1107,1107,5930.862335455562,6473.391477467484
2013-01-22,8320289,7462.142600896861,1115,1107,1115,7516.069557362241,7075.0,1107,1107,6291.905109972082,6520.785935644518
2013-01-23,7746563,6947.590134529148,1115,1107,1115,6997.798554652213,6616.0,1107,1107,6607.29585372007,6541.52561473181
