Store,Date,Sales,Customers,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,median_sales,p95_sales,p99_sales,maximum_sales,median_customers,sales_vs_store_median,sales_vs_store_p99,sales_per_customer,above_store_p99
897,2013-10-02,20167,467,0,0,0,c,c,3267.5,5394.549999999998,12767.780000000075,20167,330.0,6.1719969395562355,1.5795228301239432,43.184154175588866,1
708,2014-10-06,24975,1419,1,0,0,c,c,4288.0,7840.199999999994,12030.039999999995,24975,464.0,5.824393656716418,2.076052947454872,17.60042283298097,1
126,2013-10-24,33071,574,1,0,1,d,a,5919.0,10761.399999999976,20384.32000000001,33071,529.0,5.587261361716506,1.6223744525203678,57.61498257839721,1
897,2013-08-16,17649,386,1,0,1,c,c,3267.5,5394.549999999998,12767.780000000075,20167,330.0,5.401377199693956,1.3823076525441302,45.72279792746114,1
897,2013-10-26,17298,413,0,0,0,c,c,3267.5,5394.549999999998,12767.780000000075,20167,330.0,5.293955623565417,1.3548165773532985,41.883777239709445,1
897,2013-05-08,17148,319,0,0,0,c,c,3267.5,5394.549999999998,12767.780000000075,20167,330.0,5.24804896710023,1.343068254622174,53.755485893416925,1
897,2013-09-02,16954,261,0,0,0,c,c,3267.5,5394.549999999998,12767.780000000075,20167,330.0,5.188676358071921,1.3278737572232526,64.95785440613027,1
105,2013-04-29,22125,1354,1,0,0,a,c,4271.0,7295.250000000001,8626.040000000006,22125,528.0,5.18028564738937,2.5649081154272393,16.340472673559823,1
126,2013-10-22,30619,554,1,0,1,d,a,5919.0,10761.399999999976,20384.32000000001,33071,529.0,5.173002196316945,1.5020859170185703,55.268953068592054,1
292,2015-06-29,29161,1370,1,0,0,a,a,5695.5,8633.0,9692.150000000001,29161,736.0,5.120007023088403,3.0087235546292614,21.285401459854015,1
897,2013-10-19,16558,331,0,0,0,c,c,3267.5,5394.549999999998,12767.780000000075,20167,330.0,5.0674827850038255,1.2968581852130834,50.02416918429003,1
764,2013-04-10,17874,1288,1,0,0,a,c,3602.0,5549.899999999996,6673.380000000005,17874,421.0,4.962243198223209,2.678402848331728,13.877329192546584,1
897,2013-10-11,16092,402,1,0,1,c,c,3267.5,5394.549999999998,12767.780000000075,20167,330.0,4.92486610558531,1.2603600625950562,40.02985074626866,1
897,2013-11-05,15991,353,1,0,0,c,c,3267.5,5394.549999999998,12767.780000000075,20167,330.0,4.893955623565417,1.252449525289432,45.30028328611898,1
837,2014-02-21,15482,1383,1,0,0,a,c,3218.0,6067.5,7140.0,15482,460.0,4.811062771908017,2.168347338935574,11.194504699927693,1
303,2014-07-15,27318,1308,1,0,1,a,a,5862.5,9207.75,10795.550000000007,27318,663.5,4.659786780383795,2.530487098850914,20.88532110091743,1
126,2013-09-27,27050,613,1,0,0,d,a,5919.0,10761.399999999976,20384.32000000001,33071,529.0,4.5700287210677475,1.327000361061835,44.127243066884176,1
589,2013-05-02,19781,1475,1,0,0,a,c,4342.5,8430.5,9650.800000000003,19781,496.0,4.5552101324122045,2.0496746383719477,13.410847457627119,1
517,2013-02-01,25141,1763,0,0,0,a,c,5658.0,9567.000000000002,12125.939999999986,25141,651.0,4.443442912689997,2.073323800051792,14.260351673284175,1
103,2013-07-05,19373,1230,1,0,1,d,c,4555.0,6592.5,7938.900000000004,19373,416.0,4.253128430296377,2.4402625048810274,15.75040650406504,1
