Store,mean_sales_open,median_sales_open,mean_customers,open_days,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,CompetitionDistanceMissing
1,4759.096030729834,4647.0,564.0499359795134,781,c,a,1270.0,9.0,2008.0,0
2,4953.900510204082,4783.0,583.9987244897959,784,a,a,570.0,11.0,2007.0,0
3,6942.568677792041,6619.0,750.0770218228498,779,a,a,14130.0,12.0,2006.0,0
4,9638.401785714286,9430.5,1321.7525510204082,784,c,c,620.0,9.0,2009.0,0
5,4676.274711168165,4616.0,537.3401797175867,779,a,a,29910.0,4.0,2015.0,0
6,5509.946153846154,5462.5,635.2346153846154,780,a,a,310.0,12.0,2013.0,0
7,8817.050890585242,8494.0,948.5610687022901,786,a,c,24000.0,4.0,2013.0,0
8,5539.3584183673465,5356.0,658.1977040816327,784,a,a,7520.0,10.0,2014.0,0
9,6562.337612323492,6215.0,579.8164313222079,779,a,c,2030.0,8.0,2000.0,0
10,5568.4209183673465,5395.5,593.9553571428571,784,a,a,3160.0,9.0,2009.0,0
11,8030.977040816327,7571.5,1130.091836734694,784,a,c,960.0,11.0,2011.0,0
12,7589.598214285715,7171.5,896.952806122449,784,a,c,1070.0,,,0
13,5034.747181964573,4719.0,382.8341384863124,621,d,a,310.0,,,0
14,5508.567394094994,5391.0,631.4672657252888,779,a,a,1300.0,3.0,2014.0,0
15,6672.844387755102,6418.0,663.4017857142857,784,d,c,4110.0,3.0,2010.0,0
16,7680.683397683398,7478.0,852.4774774774775,777,a,c,3270.0,,,0
17,6335.6624040920715,5997.0,791.6751918158568,782,a,a,50.0,12.0,2005.0,0
18,6560.277493606138,6362.5,713.2800511508951,782,d,c,13840.0,6.0,2010.0,0
19,6464.915275994866,6247.0,624.6700898587933,779,a,c,3240.0,,,0
20,7756.9353796445885,7804.0,848.5589660743134,619,d,a,2340.0,5.0,2009.0,0
21,5482.320463320463,5278.0,516.3616473616473,777,c,c,550.0,10.0,1999.0,0
