Store,open_positive_days,mean_sales,median_sales,std_sales,p95_sales,p99_sales,maximum_sales,mean_customers,median_customers
1,781,4759.096030729834,4647.0,1012.1063931339861,6532.0,7906.200000000003,9528,564.0499359795134,550.0
2,784,4953.900510204082,4783.0,1610.1491019698924,7574.0,9560.879999999985,10682,583.9987244897959,575.5
3,779,6942.568677792041,6619.0,2193.3838042966454,10795.499999999998,12675.760000000013,15689,750.0770218228498,744.0
4,784,9638.401785714286,9430.5,1936.0318808651007,13392.199999999999,15700.389999999994,17412,1321.7525510204082,1301.5
5,779,4676.274711168165,4616.0,1765.7456282447836,7716.4,9072.740000000003,11692,537.3401797175867,564.0
6,780,5509.946153846154,5462.5,1577.3801331284312,8165.549999999998,9551.240000000005,11139,635.2346153846154,634.5
7,786,8817.050890585242,8494.0,2448.618883814134,13249.75,15350.05,18413,948.5610687022901,938.5
8,784,5539.3584183673465,5356.0,1894.0945579586112,8806.65,9997.13999999999,10971,658.1977040816327,672.5
9,779,6562.337612323492,6215.0,1628.6539398516463,9757.199999999997,11570.98,13457,579.8164313222079,561.0
10,784,5568.4209183673465,5395.5,1051.1327740493298,7597.449999999999,8438.68,9534,593.9553571428571,588.0
11,784,8030.977040816327,7571.5,2242.5260261055687,11934.699999999993,16629.889999999996,22822,1130.091836734694,1118.0
12,784,7589.598214285715,7171.5,2055.967799328141,11486.149999999998,13517.24999999999,16747,896.952806122449,876.0
13,621,5034.747181964573,4719.0,1617.506666141505,8011.0,9220.8,10460,382.8341384863124,370.0
14,779,5508.567394094994,5391.0,1479.6472358071142,8124.199999999998,9363.220000000003,12620,631.4672657252888,641.0
15,784,6672.844387755102,6418.0,1625.6661575976307,9765.25,11671.039999999999,13392,663.4017857142857,648.0
16,777,7680.683397683398,7478.0,1904.3579559463253,11059.199999999995,12822.280000000002,15288,852.4774774774775,877.0
17,782,6335.6624040920715,5997.0,2497.622418941427,10761.999999999998,12950.469999999994,17845,791.6751918158568,807.5
18,782,6560.277493606138,6362.5,1783.419400041794,9940.699999999999,11848.989999999982,14671,713.2800511508951,712.0
19,779,6464.915275994866,6247.0,1842.0713550596743,9969.699999999999,11112.12,12729,624.6700898587933,633.0
